Screening of Au Spherical NP
Dimensions and Wavelenght in nm, |E|^2/|E0|^2 in a.u.
   
R[nm]	lambda [nm]	Avg F.E. [nm]
6	541.761	3.88371
8	540.541	5.40551
10	540.541	6.97065
12	540.541	8.3692
14	541.761	9.93776
16	541.761	11.7266
18	541.761	13.2852
20	542.986	14.7881
22	544.218	15.6711
24	545.455	17.4572
26	547.945	17.966
28	549.199	19.4495
30	551.724	19.6205
32	552.995	20.7903
34	555.556	20.6314
36	559.441	20.0414
38	563.38	19.3932
40	570.071	19.4858
42	575.54	18.7101
44	581.114	17.7731
