Screening of Au Smoothed quadrilateral NP
Dimensions and Wavelenght in nm, |E|^2/|E0|^2 in a.u.
   
l [nm]	w [nm]	H [nm]	lambda [nm]	Avg F.E. [nm]
20	20	20	542.986	3.72386
25	20	20	554.273	6.35724
30	20	20	574.163	10.5287
35	20	20	601.504	19.782
40	20	20	626.632	45.3545
45	20	20	650.407	101.632
50	20	20	676.056	175.636
55	20	20	703.812	262.937
60	20	20	731.707	356.954
65	20	20	761.905	458.266
70	20	20	792.079	558.124
20	25	20	539.326	3.3793
25	25	20	549.199	5.46126
30	25	20	564.706	8.87769
35	25	20	585.366	14.9596
40	25	20	609.137	28.6214
45	25	20	631.579	59.0231
50	25	20	652.174	111.022
55	25	20	676.056	173.081
60	25	20	701.754	241.776
65	25	20	727.273	315.171
70	25	20	754.717	388.013
75	25	20	781.759	461.192
20	30	20	536.913	3.06862
25	30	20	546.697	4.71164
30	30	20	559.441	7.45232
35	30	20	578.313	11.9186
40	30	20	598.504	20.7462
45	30	20	618.557	38.1665
50	30	20	638.298	72.1736
55	30	20	659.341	117.35
60	30	20	681.818	167.137
65	30	20	705.882	219.487
70	30	20	729.483	274.234
75	30	20	754.717	327.99
80	30	20	779.221	382.167
85	30	20	421.793	1.09587
90	30	20	542.986	1.12941
95	30	20	547.945	1.18462
100	30	20	551.724	1.24939
20	35	20	535.714	2.79805
25	35	20	545.455	4.10654
30	35	20	556.845	6.27969
35	35	20	572.792	9.68748
40	35	20	591.133	15.9538
45	35	20	609.137	27.8318
50	35	20	629.921	49.2044
55	35	20	648.649	81.9552
60	35	20	668.524	118.624
65	35	20	689.655	157.111
70	35	20	712.166	196.483
75	35	20	736.196	236.38
80	35	20	759.494	275.98
85	35	20	781.759	313.5
20	40	20	534.521	2.59059
25	40	20	544.218	3.66078
30	40	20	555.556	5.39277
35	40	20	570.071	8.0712
40	40	20	586.797	12.7945
45	40	20	604.534	21.3452
50	40	20	623.377	35.7148
55	40	20	640	59.2887
60	40	20	659.341	87.1813
65	40	20	679.887	116.117
70	40	20	701.754	145.254
75	40	20	722.892	175.121
80	40	20	745.342	204.497
85	40	20	766.773	233.329
90	40	20	789.474	261.626
20	45	20	533.333	2.425
25	45	20	542.986	3.32369
30	45	20	554.273	4.73165
35	45	20	567.376	6.89579
40	45	20	583.942	10.557
45	45	20	601.504	16.9496
50	45	20	616.967	27.4765
55	45	20	634.921	44.7591
