Screening of Au Spherical NP
Dimensions and Wavelenght in nm, |E|^2/|E0|^2 in a.u.
   
R[nm]	lambda [nm]	Avg F.E. [nm]
46	589.681	16.7477
48	592.593	15.7059
50	616.967	14.4857
52	629.921	14.0764
54	636.605	14.5228
56	643.432	13.8845
58	650.407	13.3288
60	659.341	12.777
62	674.157	12.2398
64	683.761	11.6387
66	695.652	11.1524
68	714.286	10.7278
70	727.273	10.3308
72	743.034	9.96901
74	761.905	9.62723
76	779.221	9.34166

78	318.725	0.849096 ##Peak Out of range from here vvvv
80	320.427	0.878747
82	322.581	0.880332
84	325.203	0.877338
86	327.869	0.879771
88	383.387	0.88359
90	564.706	1.99003
92	566.038	1.95054
94	566.038	1.96134
96	567.376	1.96772
98	571.429	1.92502
100	571.429	1.88422
